state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
39,80,510,0,0,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3
49,63,510,0,0,0,132.9,122,22.59,67.0,62,5.7,160.4,121,7.22,9.9,2,2.67,3
50,116,510,0,1,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2
44,71,415,0,0,0,278.9,110,47.41,190.2,67,16.17,255.2,84,11.48,11.7,7,3.16,0
30,120,510,0,1,43,177.9,117,30.24,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,1
0,132,510,0,0,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2
21,105,415,0,0,0,156.5,102,26.61,140.2,134,11.92,227.4,111,10.23,12.2,2,3.29,2
49,117,510,1,0,0,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,1
10,64,510,0,0,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3
12,143,510,0,1,33,141.4,130,24.04,186.4,114,15.84,210.0,111,9.45,7.7,6,2.08,1
3,60,415,0,0,0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2
35,144,415,0,1,18,106.4,109,18.09,108.1,113,9.19,208.4,111,9.38,10.1,5,2.73,1
43,80,510,0,1,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0
33,143,415,0,0,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0
37,161,415,0,0,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1
35,109,415,0,0,0,193.6,58,32.91,148.7,115,12.64,282.5,105,12.71,13.1,1,3.54,2
43,139,510,1,1,31,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1
36,97,415,0,0,0,151.6,107,25.77,155.4,96,13.21,240.0,112,10.8,14.7,4,3.97,1
11,98,408,0,1,30,110.3,71,18.75,182.4,108,15.5,183.8,88,8.27,11.0,8,2.97,2
17,122,415,0,0,0,168.3,96,28.61,87.6,91,7.45,247.2,87,11.12,8.4,6,2.27,1
12,130,510,0,0,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5
11,24,415,0,0,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1
26,74,415,0,0,0,162.7,102,27.66,292.0,105,24.82,183.3,80,8.25,8.7,6,2.35,0
28,35,415,0,0,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1
28,105,510,0,0,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0
23,95,415,0,0,0,149.2,96,25.36,260.7,116,22.16,201.0,120,9.05,8.1,2,2.19,1
32,161,408,0,0,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2
29,63,415,0,0,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0
5,57,415,0,0,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0
49,50,510,0,0,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1
0,52,408,0,0,0,217.0,104,36.89,152.3,83,12.95,134.3,109,6.04,11.8,4,3.19,2
42,115,415,0,0,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11.0,7,2.97,1
47,120,408,0,1,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1
6,64,415,1,0,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1
9,144,415,0,1,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1
23,152,415,1,1,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9
23,161,415,0,1,39,218.5,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1
35,52,408,0,1,31,142.1,77,24.16,193.0,97,16.41,253.4,88,11.4,11.0,4,2.97,1
19,81,510,0,0,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2
16,148,510,0,0,0,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1
16,24,510,0,0,0,243.0,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0
35,107,510,0,1,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11.0,1,2.97,2
44,144,415,0,0,0,139.6,96,23.73,124.2,93,10.56,95.6,75,4.3,15.0,4,4.05,2
11,134,415,0,1,38,214.4,93,36.45,211.7,57,17.99,165.0,79,7.43,10.0,8,2.7,1
14,100,415,0,0,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91,1
46,57,415,0,0,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0
1,95,415,0,0,0,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3
49,133,510,0,0,0,176.8,92,30.06,187.5,97,15.94,196.8,88,8.86,6.5,3,1.76,2
14,110,408,0,0,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3
50,93,408,0,1,42,166.9,101,28.37,273.2,84,23.22,171.0,106,7.69,11.5,1,3.11,1
42,72,408,0,0,0,147.0,79,24.99,162.3,103,13.8,162.9,80,7.33,10.5,4,2.84,1
32,54,415,0,1,24,92.3,88,15.69,193.1,98,16.41,99.3,119,4.47,11.6,3,3.13,2
38,114,415,0,0,0,155.3,75,26.4,169.9,87,14.44,207.0,133,9.32,12.6,5,3.4,2
22,62,415,0,0,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1
47,97,408,0,0,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0
25,82,408,0,0,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3
33,113,510,0,0,0,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,3
15,100,415,0,1,33,218.7,104,37.18,155.0,144,13.18,99.0,117,4.46,12.1,4,3.27,1
35,74,415,0,0,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0
32,65,415,0,0,0,105.7,95,17.97,141.8,100,12.05,180.5,105,8.12,6.6,12,1.78,2
47,29,415,0,0,0,157.4,122,26.76,145.0,75,12.33,281.8,92,12.68,9.3,2,2.51,1
24,131,408,0,0,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1
25,73,415,0,1,31,82.3,105,13.99,256.1,91,21.77,229.6,98,10.33,11.8,2,3.19,6
30,119,415,0,1,19,178.1,110,30.28,212.8,100,18.09,226.3,123,10.18,10.0,6,2.7,1
37,95,415,0,0,0,269.0,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2
8,136,415,0,0,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3
45,50,415,1,0,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2
43,82,415,0,0,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0
15,84,408,0,0,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1
20,135,408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0
49,62,408,0,0,0,128.7,111,21.88,169.5,104,14.41,193.6,97,8.71,10.3,5,2.78,1
27,30,510,0,0,0,145.0,76,24.65,240.7,112,20.46,197.1,134,8.87,7.1,4,1.92,3
11,35,415,0,0,0,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,13.1,8,3.54,2
49,85,408,0,0,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3
16,159,415,0,1,19,184.1,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0
43,120,415,0,0,0,203.3,108,34.56,259.9,66,22.09,115.9,103,5.22,7.8,2,2.11,3
17,57,415,0,1,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1
14,151,408,0,0,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1
9,136,408,1,0,0,199.2,122,33.86,214.7,114,18.25,150.9,105,6.79,11.8,7,3.19,1
9,104,415,0,0,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3
25,131,415,0,0,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1
16,91,408,1,0,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2
6,77,415,0,0,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,0
1,197,415,1,0,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5
10,89,415,0,0,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1
6,100,415,0,0,0,235.8,130,40.09,176.0,69,14.96,63.6,122,2.86,7.3,1,1.97,2
18,106,408,0,0,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1
3,72,510,0,0,0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0
11,166,408,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1
17,43,408,0,0,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4
49,93,415,0,0,0,141.7,95,24.09,221.0,100,18.79,227.1,71,10.22,10.2,3,2.75,0
17,135,510,0,0,0,144.1,115,24.5,249.8,68,21.23,211.4,82,9.51,13.6,3,3.67,1
16,103,408,1,0,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3
4,75,415,0,1,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4
13,68,510,0,1,30,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2
21,25,510,0,0,0,242.6,69,41.24,209.0,117,17.77,219.7,82,9.89,14.4,6,3.89,2
20,136,415,0,0,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2
25,78,415,0,0,0,87.7,74,14.91,214.8,58,18.26,201.3,147,9.06,10.8,6,2.92,1
33,64,408,0,0,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5
1,141,408,0,0,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,6.0,3,1.62,5
15,68,415,0,0,0,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54,2
26,131,415,0,1,24,135.9,60,23.1,233.2,78,19.82,210.6,121,9.48,9.4,4,2.54,1
33,87,510,0,1,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,9.5,1,2.57,3
31,95,408,1,1,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0
46,162,510,0,0,0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1
5,81,408,0,0,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18.0,2,4.86,1
30,56,415,0,1,24,121.7,87,20.69,184.0,76,15.64,266.6,98,12.0,12.7,3,3.43,1
37,161,415,0,0,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0
50,134,510,0,0,0,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0
50,64,415,0,0,0,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1
2,118,415,0,0,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5
25,136,415,0,1,24,174.6,76,29.68,176.6,114,15.01,214.4,91,9.65,8.8,5,2.38,2
28,68,408,0,1,22,82.5,97,14.03,289.9,94,24.64,180.0,114,8.1,4.8,4,1.3,3
26,80,510,1,1,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0
43,70,510,0,0,0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3.0,0
9,79,510,0,0,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3
37,72,510,0,0,0,141.3,133,24.02,134.9,96,11.47,227.5,97,10.24,11.2,3,3.02,2
41,183,415,0,1,31,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75,1
46,121,415,1,1,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3
24,86,415,0,0,0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1
15,189,510,0,0,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1
43,32,408,0,0,0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1
13,169,415,0,0,0,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1
0,117,415,0,0,0,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2
33,105,415,1,1,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1
14,68,415,1,1,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1
30,142,408,1,1,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0
27,126,415,0,0,0,103.7,93,17.63,127.0,107,10.8,329.3,66,14.82,14.4,1,3.89,0
5,121,408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3
47,78,408,0,0,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0
16,123,415,0,0,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9.0,10,2.43,1
11,111,408,0,1,13,193.1,104,32.83,111.6,98,9.49,227.4,94,10.23,12.1,4,3.27,1
20,119,408,0,0,0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3
28,68,408,0,0,0,219.6,97,37.33,141.1,144,11.99,205.7,101,9.26,10.8,4,2.92,2
7,101,415,0,0,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0
13,153,415,0,1,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1
17,72,415,0,0,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0
20,93,510,1,0,0,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3.0,1
46,107,510,0,0,0,189.7,76,32.25,156.1,65,13.27,244.0,91,10.98,8.3,3,2.24,5
46,80,415,0,0,0,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,1,2.89,1
6,84,510,0,1,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3
49,79,415,0,0,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3
7,112,415,0,1,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1
45,210,408,0,0,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2
21,88,415,0,0,0,192.0,91,32.64,127.6,127,10.85,155.6,125,7.0,7.5,5,2.03,1
32,147,510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3
39,112,415,0,0,0,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,9.8,5,2.65,1
19,80,510,0,0,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2
18,13,415,0,0,0,58.4,121,9.93,262.2,64,22.29,159.0,115,7.15,11.9,5,3.21,1
28,12,510,1,0,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2
16,163,415,0,0,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1
6,54,415,0,1,33,161.8,73,27.51,273.0,58,23.21,153.9,76,6.93,13.7,4,3.7,0
44,61,510,1,0,0,78.2,103,13.29,195.9,149,16.65,108.0,100,4.86,10.1,6,2.73,2
23,100,415,1,0,0,159.9,94,27.18,179.9,95,15.29,154.4,102,6.95,11.6,2,3.13,2
43,1,415,0,0,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10.0,3,2.7,5
39,134,415,0,0,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0
28,59,510,0,0,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0
37,92,415,0,0,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2
18,111,415,0,1,28,128.8,104,21.9,157.3,52,13.37,147.4,76,6.63,10.3,2,2.78,2
22,147,415,0,0,0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3
21,149,415,0,1,18,148.5,106,25.25,114.5,106,9.73,178.3,98,8.02,6.5,4,1.76,0
14,70,408,0,0,0,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8.0,3,2.16,2
2,135,510,0,1,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1
16,143,408,0,1,24,186.6,69,31.72,222.0,116,18.87,234.9,138,10.57,11.6,5,3.13,1
48,116,415,0,1,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1
48,117,408,0,1,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1
14,58,415,1,1,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1
24,79,408,0,0,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6.0,3,1.62,3
30,117,510,1,0,0,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,1
14,116,510,0,0,0,164.6,110,27.98,270.6,103,23.0,230.4,109,10.37,8.0,3,2.16,0
21,57,415,0,1,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3.0,2
36,116,510,0,0,0,205.0,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2
26,109,408,0,0,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1
43,140,408,0,0,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0
10,120,408,0,0,0,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2
21,193,415,0,1,31,71.2,58,12.1,124.7,105,10.6,155.5,108,7.0,11.7,3,3.16,0
20,74,415,0,0,0,155.7,116,26.47,173.7,63,14.76,257.4,97,11.58,8.1,4,2.19,0
34,156,408,0,0,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3
13,119,415,1,1,32,173.0,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0
3,97,408,0,0,0,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,12.8,6,3.46,3
10,109,510,0,1,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5
50,177,415,0,0,0,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94,1
43,201,415,0,0,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1
50,104,408,0,0,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1
50,131,510,0,0,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,1
34,47,415,0,1,37,163.5,77,27.8,203.1,102,17.26,232.0,87,10.44,7.8,4,2.11,2
13,104,510,0,0,0,97.2,88,16.52,155.6,85,13.23,261.6,105,11.77,12.4,5,3.35,0
50,97,415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1
48,129,415,0,1,37,205.0,94,34.85,165.4,103,14.06,185.0,81,8.32,11.7,8,3.16,1
19,40,408,0,1,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1
24,164,408,0,1,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1
0,78,510,0,0,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2
5,37,408,0,0,0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2
49,113,510,0,0,0,72.5,88,12.33,204.0,112,17.34,117.9,118,5.31,6.6,3,1.78,1
49,145,408,0,1,31,216.0,94,36.72,225.1,123,19.13,234.7,109,10.56,10.7,1,2.89,2
26,184,415,0,0,0,236.4,73,40.19,287.3,120,24.42,192.0,94,8.64,13.8,4,3.73,1
